feature,mean_abs_shap
CD46,1.7586013179175997
PCLO,1.187621543653678
RIMKLB,0.9503209335266692
MPZL1,0.9041850222669974
DNMBP,0.8456855110723905
MAGED2,0.6044460720040725
CTNNAL1,0.5765179321884408
DCBLD2,0.5598998190092509
DCUN1D4,0.520882349428875
PXDN,0.49867605834608797
RBM4,0.4952680139348569
PTK2,0.4415823247230416
MYO1B,0.42018625322987174
NUDT15,0.40206353686112395
LAMB1,0.37477149375943386
RAD51C,0.3032575273016014
OBSL1,0.28940871058054635
PHF19,0.27425583286669586
FAM171A1,0.24167214806603182
RAI14,0.2182072755619402
ID3,0.1895706341516301
TOM1,0.18058097704267667
PLXNB2,0.17954630899501567
SLC41A1,0.16515117036835675
MAGED1,0.16224988234451046
KLHL8,0.16081046821869927
CHRNB1,0.1607088945174255
MKS1,0.16031753675331334
AKAP12,0.1567166110278433
TACO1,0.14940206742862636
SMTN,0.14864391316940945
CYBRD1,0.14510069756525903
CAPN2,0.14491270810206872
PLAUR,0.13989523537070084
GSN,0.13497926543777997
DRAM1,0.13211014544647212
KIF3C,0.12980330151464387
SLC9A7,0.12929719217952762
SPATS2,0.12706514673487468
MAP3K9,0.11654185255091203
TNNT1,0.11524746293057195
TMEM14A,0.10886742273736687
ANO10,0.10709099425180994
ADAM9,0.10403995967399508
VPS25,0.10195463679382374
LAMC1,0.08943114561894734
TLN2,0.08306683416115904
E2F7,0.07508852432350377
ARHGAP29,0.07349835445382036
DNAH11,0.07149226937534289
DLG2,0.06896867936941103
MYO19,0.06737895813223192
ZDHHC2,0.06544799766459589
PRNP,0.06283499905912247
NCKAP1,0.0623665636225212
EPHB4,0.060992717939526916
FZD3,0.057865564825489005
HYLS1,0.054195521059620756
FBXL13,0.0539759054770934
MAP4K3,0.04802122151326367
PRKAB2,0.042689901589745144
SLC12A7,0.03792367141169426
ADCY3,0.0341591461774889
DSE,0.031952596108159884
JUP,0.0239519734179223
PALLD,0.0220617525314065
CHML,0.01859186027859273
